Depth.cmcd,Age.CE,TEX86,TEX86.stdev,SST
0.8,2009,0.295633726,0.01491527,-0.653301895
2.4,2003,0.290882462,0.004636499,-1.033403027
4,1998,0.300555409,0.004226616,-0.259567288
5.6,1992,0.314249419,0.020658008,0.835953543
7.2,1986,0.307381917,0.015906226,0.286553346
9,1979,0.307720626,0.010244432,0.313650046
11,1971,0.281715104,0.003014668,-1.766791712
13,1963,0.293609692,0.012147603,-0.815224641
15,1955,0.31921579,0.012588274,1.233263219
17,1947,0.300997613,0.015124744,-0.224190936
19,1939,0.318590817,0.01218232,1.183265388
21,1926,0.286714298,0.014547664,-1.366856196
23,1910,0.297837855,0.004861166,-0.476971583
25,1894,0.306709956,0.021031352,0.232796457
27,1879,0.303280906,,-0.041527483
29,1864,0.299830424,0.013071477,-0.317566103
31,1847,0.307790055,,0.319204429
33,1827,0.309704828,,0.47238621
35,1808,0.297000246,,-0.543980337
37,1789,0.314927276,0.014168599,0.890182057
39,1772,0.322066819,,1.461345483
41,1753,0.306456235,,0.212498803
45,1715,0.309196829,0.008830181,0.431746299
47,1695,0.301017299,,-0.222616106
49,1676,0.304725799,,0.074063915
51,1659,0.305903756,,0.168300454
54,1633,0.315871475,,0.965718003
55,1624,0.279869325,0.02140462,-1.914453996
59,1590,0.287598225,0.009107234,-1.296142026
63,1558,0.305787226,0.020163637,0.158978045
67,1528,0.32394724,0.005113479,1.611779223
71,1500,0.338142431,0.015218971,2.747394508
75,1473,0.367797943,0.012230708,5.119835466
79,1448,0.341791259,,3.039300722
83,1424,0.302562299,0.00837094,-0.099016047
87.4615,1395,0.349526596,,3.658127676
91,1374,0.362437369,,4.690989535
93,1360,0.315889851,0.009467229,0.967188064
95.1538,1347,0.314556018,,0.860481454
97,1333,0.338258263,,2.756661067
99,1321,0.34707303,0.001786885,3.461842374